epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,38424.3,0.68714,0.48493,1.21469,0.91544,0.77957,0.90499,0.74304,0.70477,0.60104,1.2241,0.000104537,0.000104537,0.000104537
82,38892.9,0.66998,0.47536,1.20034,0.91065,0.80108,0.91052,0.73757,0.72189,0.58663,1.23609,9.55951e-05,9.55951e-05,9.55951e-05
83,39362.2,0.67736,0.4665,1.20562,0.89976,0.7957,0.90098,0.73903,0.72327,0.59988,1.23454,8.70577e-05,8.70577e-05,8.70577e-05
84,39830,0.65051,0.4608,1.19773,0.90353,0.78495,0.89071,0.73214,0.73341,0.61627,1.24421,7.89327e-05,7.89327e-05,7.89327e-05
85,40299.5,0.6821,0.47973,1.20529,0.92342,0.7957,0.89566,0.7311,0.73616,0.61485,1.24702,7.12282e-05,7.12282e-05,7.12282e-05
86,40767.8,0.67122,0.47266,1.19231,0.92465,0.79176,0.89119,0.7358,0.70936,0.60373,1.22164,6.39518e-05,6.39518e-05,6.39518e-05
87,41236.6,0.66079,0.46313,1.20574,0.92738,0.76882,0.89013,0.73603,0.71797,0.59917,1.22443,5.71106e-05,5.71106e-05,5.71106e-05
88,41705,0.66322,0.46941,1.18798,0.91741,0.7957,0.88834,0.73217,0.71377,0.58487,1.22298,5.07115e-05,5.07115e-05,5.07115e-05
89,42173,0.64951,0.46321,1.18595,0.92564,0.80307,0.90178,0.73796,0.70522,0.5653,1.21593,4.47606e-05,4.47606e-05,4.47606e-05
90,42640.6,0.6614,0.46906,1.20009,0.92447,0.81183,0.90187,0.73047,0.72359,0.57279,1.22737,3.9264e-05,3.9264e-05,3.9264e-05
91,43107.3,0.43955,0.37027,1.04035,0.91825,0.8172,0.8896,0.72111,0.73446,0.57509,1.23954,3.4227e-05,3.4227e-05,3.4227e-05
92,43573,0.40761,0.31013,1.03296,0.93329,0.79032,0.88248,0.72312,0.72542,0.58129,1.24047,2.96546e-05,2.96546e-05,2.96546e-05
93,44038.9,0.42901,0.29546,1.04523,0.93628,0.80645,0.88834,0.72957,0.71337,0.5723,1.23518,2.55513e-05,2.55513e-05,2.55513e-05
94,44504.1,0.42526,0.28552,1.04237,0.92531,0.80645,0.89222,0.72373,0.72309,0.57318,1.23748,2.19212e-05,2.19212e-05,2.19212e-05
95,44970.2,0.4122,0.28061,1.03848,0.92294,0.80645,0.89268,0.7236,0.73382,0.57352,1.24319,1.87678e-05,1.87678e-05,1.87678e-05
96,45436.1,0.41535,0.29038,1.05369,0.92357,0.80645,0.89249,0.72618,0.73195,0.57583,1.24364,1.60943e-05,1.60943e-05,1.60943e-05
97,45901.5,0.39095,0.26567,1.0188,0.90256,0.82258,0.8891,0.72665,0.73103,0.58079,1.24415,1.39032e-05,1.39032e-05,1.39032e-05
98,46367.4,0.41084,0.26755,1.02794,0.92764,0.80645,0.89059,0.73145,0.72557,0.58078,1.24345,1.21968e-05,1.21968e-05,1.21968e-05
99,46833.1,0.40619,0.26871,1.01756,0.93043,0.80645,0.89038,0.72924,0.72733,0.5831,1.24151,1.09768e-05,1.09768e-05,1.09768e-05
100,47299.3,0.41298,0.26908,1.02785,0.93657,0.80645,0.89012,0.72914,0.7241,0.57638,1.2413,1.02443e-05,1.02443e-05,1.02443e-05
